accnumber_hash,avg_event_source_faultRef_HASH_count,max_clearance_time,avg_event_source_clearance_time_seconds
43f209413e6cf599e2a3f69d32696110a143da966b0f03003814c24cfcee41e3,1,84415,84415
1bf65265ba4ba6c87d5bbf94233ba1ed2c5b577fab2e2e8de3f46f2b5aaafbd1,2,31351,54997
06d66854cee1fd3e7fece44056fc4a5e8403d8290d6ea08e9ad9aff67ad28063,1,80551,80551
62f149f133f63eeec334b91da95bf48ec84409628b1442ddba08ec20182f151a,3,26906,67396
5c5052099d0d07a5d911383d55920e9d54fa0942bb6b836cf48c568018a93762,2,77471,96378
8e31ce52bfb3b3fd914c28a2316215a2ecdbd0448dabb7ab3af7690bf75b3c0a,2,49136,66892
4712c61c283c257bdde218276b7f02233ae2ff5b595137948fb890a209b23a26,5,84544,122656
f5864577d77bfcf362d373c22f50b45bfed035d3011a9a83368a6c306c1ed56d,1,70368,70368
5e7a18a09508b48b2a2f7d1c2ce2478971d65071c64b96d1b04632d06a5e19b6,2,58552,65756
5f35d6da5350d071f94811db6c725902e32bc5ea936fe88783fe9166c2ea34e1,1,80348,80348
392a734f121f05295f8a036cbbf85ab32f101f6e96c56578017e8ba13409af8e,7,55823,185256
e22bc2f2b996912131cada1fbec2735c36dd9a93a4032bf5347b4a3674b26eae,2,53374,103082
5b5293a2bfa0fd53feb30ed11ec18961980a9ad1871f9a686cb8340143734c23,2,79277,130780
4240281e1439d0fc553207e2cb58cae4ab4d57c3541c60d5e77953845a9083a6,1,81476,81476
20fc5bc6764425240957e1b676ae79b5c20052b6dbb2c72252677c9dbe155fd2,5,12343,30752
5982100624336ed4aab1ad407708ceab2ef53e829722262ecc2b3d435c59267f,2,74508,135764
81e119a716ef2cb75574f672323a61fa14469e000c495f8e2be711a641235120,2,25854,45184
38b223caddd91e5ff23fa263bccc9926ae7c42a6cb1221a71b75597105fea867,1,8283,8283
4ae6afd1e063a080ac5356e6bccb6f1efaaa424539974c5c9fbfd687640191bd,1,24235,24235
c5d55031c1edda3ede476a2bb9de8fc94a663852a23f3a2ab4851a6f51ffb182,6,75148,279961
416041c5f311af1c1ee0f99b19c4a0a2cf302e6bf9ee9dac9dc8042271e096f2,2,71827,81102
9a7e5df9795b2c4fad05ebf032bba8dedce28370963743f009d2bbebf17b699d,1,12831,12831
11c7bdda8b8c556b34425aa48f25f9c14c9964734989ca12938c18afcf2714c6,4,72187,277182
7e365e5609237b71839c90d81a39a15afe463d6f6308d3916e7082a1ff6fa8c4,1,9014,9014
0a92987e73b7cc473708e9b0a59940bef9b1227517cc2c50177733349abbf1cc,2,51618,70409
2e809b6ad65f2bb9561fdf050f4b0378f2f1398f9c9836d39a8432549dd06d4a,3,13626,28729
c057caa0d547653d447802947827def416b5f7db24766acdc9074e6f9c6c135d,1,22697,16874
2739b0bb9dd630d3c5079a6766d1d1fe0c1d883494b6d027cfa57c777f77ca76,3,74349,101123
ce26149ab439c1721bab28308769c9078298c43e2d3e34f15a2ca0e50971b0c6,1,13350,13350
65db568878d5da674bf358d5c5cf22def63e63abdecbdd1559dd613437b2150d,1,41102,41102
808acae0e38036248f9ab06a3e81a90e98dfa6349264234fb25556521bb678c5,1.5,74122,67540.5
d8b1a4eaecc48f7609f0b834ec7a959654b73f633689782e39236d71049d142b,3,35230,97445
a340ad7d05a04dd2930c03f5ad492b7a1586fdd79187da1438f9127d56a234bb,1,61447,61447
914cc0f4134ab9021f293ee9659fd4ae8da2bdb6b8b58e6b76363330913a4b54,1,16375,16375
db6dc29177fd495f56a5b73845fd36764b4954af00efb34d886f4ad4c48843a9,1.5,122150,74513.5
fe3d7a8797fe95ebe1aecedad391098ce86bb89e529cfd45daa71eebc2db340e,3,91232,98123
2368a537ee567c882cf437c3f1efdb8d849065329265399ac682cc7437fdf053,1,85020,85020
d81ac819e00987a2bcb12f363e0532ae02191c128fafca1292ea52e21ddbfa34,1,56252,56252
94cdb6d4b04e9bac7dbb6d03d69823dc0250c82d8da85c37c376911777384d3c,2,53323,57470
